miRNA,ddPCR,Raw,RUVIII
24,0.00,40.00,-0.26
43,0.00,124.00,0.53
69,118.67,19.00,-0.11
83,0.00,11.00,-1.14
106,0.00,44.00,0.53
119,0.00,115.00,1.38
134,115.00,13.00,0.07
136,328.83,8.00,-0.32
139,522.99,19.00,0.01
143,274.23,24.00,0.42
152,561.52,15.00,-0.04
156,127.32,19.00,0.84
185,0.00,2884.00,3.06
188,0.00,2820.00,1.69
219,668.00,747.00,2.37
221,886.00,617.00,2.66
227,0.00,10130.00,3.81
231,0.00,1765.00,3.20
233,2807.64,963.00,3.18
246,1239.12,339.00,2.50
253,809.00,1.00,
271,523.00,667.00,2.08
273,499.00,12.00,-0.86
282,547.00,974.00,4.31
283,4000.00,294.00,2.57
